Song,SongID,Song Uniform name
"Hill 3234",54,"Hill 3234"
"Shiroyama",55,"Shiroyama"
"Winged Hussars",56,"Winged Hussars"
"The Last Battle",57,"The Last Battle"
"Camouflage (Bonus Track)",58,"Camouflage"
"All Guns Blazing (Bonus Track)",59,"All Guns Blazing"
"Night Witches",60,"Night Witches"
"No Bullets Fly",61,"No Bullets Fly"
"Smoking Snakes",62,"Smoking Snakes"
"Inmate 4859",63,"Inmate 4859"
"To Hell and Back",64,"To Hell and Back"
"The Ballad Of Bull",65,"The Ballad Of Bull"
"Resist and Bite",66,"Resist and Bite"
"Soldier Of 3 Armies",67,"Soldier Of 3 Armies"
"Far From The Fame",68,"Far From The Fame"
"Hearts Of Iron",69,"Hearts Of Iron"
"7734",70,"7734"
"Man Of War",71,"Man Of War"
"For Whom The Bell Tolls - Metallica Cover (Bonus Track)",72,"For Whom The Bell Tolls"
"Dominium Maris Baltici (Instrumental)",73,"Dominium Maris Baltici"
"The Lion From The North",74,"The Lion From The North"
"Gott Mit Uns (English)",75,"Gott Mit Uns"
"A Lifetime Of War",76,"A Lifetime Of War"
"1648 (English)",77,"1648"
"The Carolean's Prayer",78,"The Carolean's Prayer"
"Carolus Rex (English)",79,"Carolus Rex"
"Killing Ground",80,"Killing Ground"
"Poltava (English)",81,"Poltava"
"Long Live The King",82,"Long Live The King"
"Ruina Imperii",83,"Ruina Imperii"
"Twilight Of The Thundergod",84,"Twilight Of The Thundergod"
"In The Army Now",85,"In The Army Now"
"Harley From Hell",86,"Harley From Hell"
"Lejonet Från Norden",87,"Lejonet Från Norden"
"Gott Mit Uns",88,"Gott Mit Uns"
"En Livstid i Krig",89,"En Livstid i Krig"
"1648 (Swedish)",90,"1648"
"Karolinens Bön",91,"Karolinens Bön"
"Carolus Rex (Swedish)",92,"Carolus Rex"
"Ett Slag Färgat Rött",93,"Ett Slag Färgat Rött"
"Poltava (Swedish)",94,"Poltava"
"Konungens Likfärd",95,"Konungens Likfärd"
"Feuer Frei (Bonus Track)",96,"Feuer Frei"
"Coat Of Arms",97,"Coat Of Arms"
"Midway",98,"Midway"
"Uprising",99,"Uprising"
"Screaming Eagles",100,"Screaming Eagles"
"The Final Solution",101,"The Final Solution"
"Aces in Exile",102,"Aces in Exile"
"Saboteurs",103,"Saboteurs"
"Wehrmacht",104,"Wehrmacht"
"White Death",105,"White Death"
"Metal Ripper",106,"Metal Ripper"
"Coat Of Arms (Instrumental)",107,"Coat Of Arms"
"Metal Ripper (Instrumental)",108,"Metal Ripper"
"White Death (Instrumental)",109,"White Death"
"Sun Tzu Says",110,"Sun Tzu Says"
"Ghost Division",111,"Ghost Division"
"The Art Of War",112,"The Art Of War"
"40:1",113,"40:1"
"Unbreakable",114,"Unbreakable"
"The Nature Of Warfare",115,"The Nature Of Warfare"
"Cliffs Of Gallipoli",116,"Cliffs Of Gallipoli"
"Talvisota",117,"Talvisota"
"Panzerkampf",118,"Panzerkampf"
"Union [Slopes Of St. Benedict]",119,"Union [Slopes Of St. Benedict]"
"Firestorm",120,"Firestorm"
"A Secret",121,"A Secret"
"Swedish Pagans",122,"Swedish Pagans"
"Glorious Land",123,"Glorious Land"
"The Art Of War - Pre Production Demos",124,"The Art Of War"
"Swedish National Anthem - Live At Sweden Rock Festival",125,"Swedish National Anthem"
"Hellrider",126,"Hellrider"
"Thundergods",127,"Thundergods"
"Metalizer",128,"Metalizer"
"Shadows",129,"Shadows"
"Burn Your Crosses",130,"Burn Your Crosses"
"Endless Nights",131,"Endless Nights"
"Hail To The King",132,"Hail To The King"
"Thunderstorm",133,"Thunderstorm"
"Speeder",134,"Speeder"
"Masters Of The World",135,"Masters Of The World"
"Jawbreaker",136,"Jawbreaker"
"Dream Destroyer",137,"Dream Destroyer"
"Panzer Battalion (Demo Version)",138,"Panzer Battalion"
"Hellrider (Live In Västerås 2006)",139,"Hellrider"
"Introduction",140,"Introduction"
"The Hammer Has Fallen",141,"The Hammer Has Fallen"
"Guten Nacht (Instrumental)",142,"Guten Nacht"
"Birds Of War",143,"Birds Of War"
"Attero Dominatus",144,"Attero Dominatus"
"Nuclear Attack",145,"Nuclear Attack"
"Rise Of Evil",146,"Rise Of Evil"
"In The Name of God",147,"In The Name of God"
"We Burn",148,"We Burn"
"Angels Calling",149,"Angels Calling"
"Back In Control",150,"Back In Control"
"Light In The Black",151,"Light In The Black"
"Metal Crüe",152,"Metal Crüe"
"Für immer (Doro Cover Song)",153,"Für immer"
"Länga Bollar Pä Bengt (Svenne Rubins Cover Song)",154,"Länga Bollar Pä Bengt"
"Metal Medley (Live In Falun 2008)",155,"Metal Medley"
"Nightchild",156,"Nightchild"
"Primo Victoria (Demo Version)",157,"Primo Victoria"
"Primo Victoria",158,"Primo Victoria"
"Reign Of Terror",159,"Reign Of Terror"
"Panzer Battalion",160,"Panzer Battalion"
"Wolfpack",161,"Wolfpack"
"Counterstrike",162,"Counterstrike"
"Stalingrad",163,"Stalingrad"
"Into The Fire",164,"Into The Fire"
"Purple Heart",165,"Purple Heart"
"Metal Machine",166,"Metal Machine"
"The March To War (Instrumental)",167,"The March To War"
"Shotgun",168,"Shotgun"
"Into The Fire (Live in Falun 2008)",169,"Into The Fire"
"Rise Of Evil (Live in Falun 2008)",170,"Rise Of Evil"
"The Beast (Twisted Sister Cover)",171,"The Beast"
"Dead Soldier's Waltz (Instrumental)",172,"Dead Soldier's Waltz"
